time,latitude_deg,longitude_deg,height_m
0,51.08,-114.134,1118.5
0.015,51.08,-114.134,1118.5
0.03,51.08,-114.134,1118.5
0.045,51.08,-114.134,1118.5
0.06,51.08,-114.134,1118.5
0.075,51.08,-114.134,1118.5
0.09,51.08,-114.134,1118.5
0.105,51.08,-114.134,1118.5
0.12,51.08,-114.134,1118.5
0.135,51.08,-114.134,1118.5
0.15,51.08,-114.134,1118.5
0.165,51.08,-114.134,1118.5
0.18,51.08,-114.134,1118.5
0.195,51.08,-114.134,1118.5
0.21,51.08,-114.134,1118.5
0.225,51.08,-114.134,1118.5
0.24,51.08,-114.134,1118.5
0.255,51.08,-114.134,1118.5
0.27,51.08,-114.134,1118.5
0.285,51.08,-114.134,1118.5
0.3,51.08,-114.134,1118.5
0.315,51.08,-114.134,1118.5
0.33,51.08,-114.134,1118.5
0.345,51.08,-114.134,1118.5
0.36,51.08,-114.134,1118.5
0.375,51.08,-114.134,1118.5
0.39,51.08,-114.134,1118.5
0.405,51.08,-114.134,1118.5
0.42,51.08,-114.134,1118.5
0.435,51.08,-114.134,1118.5
0.45,51.08,-114.134,1118.5
0.465,51.08,-114.134,1118.5
0.48,51.08,-114.134,1118.5
0.495,51.08,-114.134,1118.5
0.51,51.08,-114.134,1118.5
0.525,51.08,-114.134,1118.5
0.54,51.08,-114.134,1118.5
0.555,51.08,-114.134,1118.5
0.57,51.08,-114.134,1118.5
0.585,51.08,-114.134,1118.5
0.6,51.08,-114.134,1118.5
0.615,51.08,-114.134,1118.5
0.63,51.08,-114.134,1118.5
0.645,51.08,-114.134,1118.5
0.66,51.08,-114.134,1118.5
0.675,51.08,-114.134,1118.5
0.69,51.08,-114.134,1118.5
0.705,51.08,-114.134,1118.5
0.72,51.08,-114.134,1118.5
0.735,51.08,-114.134,1118.5
0.75,51.08,-114.134,1118.5
0.765,51.08,-114.134,1118.5
0.78,51.08,-114.134,1118.5
0.795,51.08,-114.134,1118.5
0.81,51.08,-114.134,1118.5
0.825,51.08,-114.134,1118.5
0.84,51.08,-114.134,1118.5
0.855,51.08,-114.134,1118.5
0.87,51.08,-114.134,1118.5
0.885,51.08,-114.134,1118.5
0.9,51.08,-114.134,1118.5
0.915,51.08,-114.134,1118.5
0.93,51.08,-114.134,1118.5
0.945,51.08,-114.134,1118.5
0.96,51.08,-114.134,1118.5
0.975,51.08,-114.134,1118.5
0.99,51.08,-114.134,1118.5
1.005,51.08,-114.134,1118.5
1.02,51.08,-114.134,1118.5
1.035,51.08,-114.134,1118.5
1.05,51.08,-114.134,1118.5
1.065,51.08,-114.134,1118.5
1.08,51.08,-114.134,1118.5
1.095,51.08,-114.134,1118.5
1.11,51.08,-114.134,1118.5
1.125,51.08,-114.134,1118.5
1.14,51.08,-114.134,1118.5
1.155,51.08,-114.134,1118.5
1.17,51.08,-114.134,1118.5
1.185,51.08,-114.134,1118.5
1.2,51.08,-114.134,1118.5
1.215,51.08,-114.134,1118.5
1.23,51.08,-114.134,1118.5
1.245,51.08,-114.134,1118.5
1.26,51.08,-114.134,1118.5
1.275,51.08,-114.134,1118.5
1.29,51.08,-114.134,1118.5
1.305,51.08,-114.134,1118.5
1.32,51.08,-114.134,1118.5
1.335,51.08,-114.134,1118.5
1.35,51.08,-114.134,1118.5
1.365,51.08,-114.134,1118.5
1.38,51.08,-114.134,1118.5
1.395,51.08,-114.134,1118.5
1.41,51.08,-114.134,1118.5
1.425,51.08,-114.134,1118.5
1.44,51.08,-114.134,1118.5
1.455,51.08,-114.134,1118.5
1.47,51.08,-114.134,1118.5
1.485,51.08,-114.134,1118.5
1.5,51.08,-114.134,1118.5
1.515,51.08,-114.134,1118.5
1.53,51.08,-114.134,1118.5
1.545,51.08,-114.134,1118.5
1.56,51.08,-114.134,1118.5
1.575,51.08,-114.134,1118.5
1.59,51.08,-114.134,1118.5
1.605,51.08,-114.134,1118.5
1.62,51.08,-114.134,1118.5
1.635,51.08,-114.134,1118.5
1.65,51.08,-114.134,1118.5
1.665,51.08,-114.134,1118.5
1.68,51.08,-114.134,1118.5
1.695,51.08,-114.134,1118.5
1.71,51.08,-114.134,1118.5
1.725,51.08,-114.134,1118.5
1.74,51.08,-114.134,1118.5
1.755,51.08,-114.134,1118.5
1.77,51.08,-114.134,1118.5
1.785,51.08,-114.134,1118.5
1.8,51.08,-114.134,1118.5
1.815,51.08,-114.134,1118.5
1.83,51.08,-114.134,1118.5
1.845,51.08,-114.134,1118.5
1.86,51.08,-114.134,1118.5
1.875,51.08,-114.134,1118.5
1.89,51.08,-114.134,1118.5
1.905,51.08,-114.134,1118.5
1.92,51.08,-114.134,1118.5
1.935,51.08,-114.134,1118.5
1.95,51.08,-114.134,1118.5
1.965,51.08,-114.134,1118.5
1.98,51.08,-114.134,1118.5
1.995,51.08,-114.134,1118.5
2.01,51.08,-114.134,1118.5
2.025,51.08,-114.134,1118.5
2.04,51.08,-114.134,1118.5
2.055,51.08,-114.134,1118.5
2.07,51.08,-114.134,1118.5
2.085,51.08,-114.134,1118.5
2.1,51.08,-114.134,1118.5
2.115,51.08,-114.134,1118.5
2.13,51.08,-114.134,1118.5
2.145,51.08,-114.134,1118.5
2.16,51.08,-114.134,1118.5
2.175,51.08,-114.134,1118.5
2.19,51.08,-114.134,1118.5
2.205,51.08,-114.134,1118.5
2.22,51.08,-114.134,1118.5
2.235,51.08,-114.134,1118.5
2.25,51.08,-114.134,1118.5
2.265,51.08,-114.134,1118.5
2.28,51.08,-114.134,1118.5
2.295,51.08,-114.134,1118.5
2.31,51.08,-114.134,1118.5
2.325,51.08,-114.134,1118.5
2.34,51.08,-114.134,1118.5
2.355,51.08,-114.134,1118.5
2.37,51.08,-114.134,1118.5
2.385,51.08,-114.134,1118.5
2.4,51.08,-114.134,1118.5
2.415,51.08,-114.134,1118.5
2.43,51.08,-114.134,1118.5
2.445,51.08,-114.134,1118.5
2.46,51.08,-114.134,1118.5
2.475,51.08,-114.134,1118.5
2.49,51.08,-114.134,1118.5
2.505,51.08,-114.134,1118.5
2.52,51.08,-114.134,1118.5
2.535,51.08,-114.134,1118.5
2.55,51.08,-114.134,1118.5
2.565,51.08,-114.134,1118.5
2.58,51.08,-114.134,1118.5
2.595,51.08,-114.134,1118.5
2.61,51.08,-114.134,1118.5
2.625,51.08,-114.134,1118.5
2.64,51.08,-114.134,1118.5
2.655,51.08,-114.134,1118.5
2.67,51.08,-114.134,1118.5
2.685,51.08,-114.134,1118.5
2.7,51.08,-114.134,1118.5
2.715,51.08,-114.134,1118.5
2.73,51.08,-114.134,1118.5
2.745,51.08,-114.134,1118.5
2.76,51.08,-114.134,1118.5
2.775,51.08,-114.134,1118.5
2.79,51.08,-114.134,1118.5
2.805,51.08,-114.134,1118.5
2.82,51.08,-114.134,1118.5
2.835,51.08,-114.134,1118.5
2.85,51.08,-114.134,1118.5
2.865,51.08,-114.134,1118.5
2.88,51.08,-114.134,1118.5
2.895,51.08,-114.134,1118.5
2.91,51.08,-114.134,1118.5
2.925,51.08,-114.134,1118.5
2.94,51.08,-114.134,1118.5
2.955,51.08,-114.134,1118.5
2.97,51.08,-114.134,1118.5
2.985,51.08,-114.134,1118.5
3,51.08,-114.134,1118.5
3.015,51.08,-114.134,1118.5
3.03,51.08,-114.134,1118.5
3.045,51.08,-114.134,1118.5
3.06,51.08,-114.134,1118.5
3.075,51.08,-114.134,1118.5
3.09,51.08,-114.134,1118.5
3.105,51.08,-114.134,1118.5
3.12,51.08,-114.134,1118.5
3.135,51.08,-114.134,1118.5
3.15,51.08,-114.134,1118.5
3.165,51.08,-114.134,1118.5
3.18,51.08,-114.134,1118.5
3.195,51.08,-114.134,1118.5
3.21,51.08,-114.134,1118.5
3.225,51.08,-114.134,1118.5
3.24,51.08,-114.134,1118.5
3.255,51.08,-114.134,1118.5
3.27,51.08,-114.134,1118.5
3.285,51.08,-114.134,1118.5
3.3,51.08,-114.134,1118.5
3.315,51.08,-114.134,1118.5
3.33,51.08,-114.134,1118.5
3.345,51.08,-114.134,1118.5
3.36,51.08,-114.134,1118.5
3.375,51.08,-114.134,1118.5
3.39,51.08,-114.134,1118.5
3.405,51.08,-114.134,1118.5
3.42,51.08,-114.134,1118.5
3.435,51.08,-114.134,1118.5
3.45,51.08,-114.134,1118.5
3.465,51.08,-114.134,1118.5
3.48,51.08,-114.134,1118.5
3.495,51.08,-114.134,1118.5
3.51,51.08,-114.134,1118.5
3.525,51.08,-114.134,1118.5
3.54,51.08,-114.134,1118.5
3.555,51.08,-114.134,1118.5
3.57,51.08,-114.134,1118.5
3.585,51.08,-114.134,1118.5
3.6,51.08,-114.134,1118.5
3.615,51.08,-114.134,1118.5
3.63,51.08,-114.134,1118.5
3.645,51.08,-114.134,1118.5
3.66,51.08,-114.134,1118.5
3.675,51.08,-114.134,1118.5
3.69,51.08,-114.134,1118.5
3.705,51.08,-114.134,1118.5
3.72,51.08,-114.134,1118.5
3.735,51.08,-114.134,1118.5
3.75,51.08,-114.134,1118.5
3.765,51.08,-114.134,1118.5
3.78,51.08,-114.134,1118.5
3.795,51.08,-114.134,1118.5
3.81,51.08,-114.134,1118.5
3.825,51.08,-114.134,1118.5
3.84,51.08,-114.134,1118.5
3.855,51.08,-114.134,1118.5
3.87,51.08,-114.134,1118.5
3.885,51.08,-114.134,1118.5
3.9,51.08,-114.134,1118.5
3.915,51.08,-114.134,1118.5
3.93,51.08,-114.134,1118.5
3.945,51.08,-114.134,1118.5
3.96,51.08,-114.134,1118.5
3.975,51.08,-114.134,1118.5
3.99,51.08,-114.134,1118.5
4.005,51.08,-114.134,1118.5
4.02,51.08,-114.134,1118.5
4.035,51.08,-114.134,1118.5
4.05,51.08,-114.134,1118.5
4.065,51.08,-114.134,1118.5
4.08,51.08,-114.134,1118.5
4.095,51.08,-114.134,1118.5
4.11,51.08,-114.134,1118.5
4.125,51.08,-114.134,1118.5
4.14,51.08,-114.134,1118.5
4.155,51.08,-114.134,1118.5
4.17,51.08,-114.134,1118.5
4.185,51.08,-114.134,1118.5
4.2,51.08,-114.134,1118.5
4.215,51.08,-114.134,1118.5
4.23,51.08,-114.134,1118.5
4.245,51.08,-114.134,1118.5
4.26,51.08,-114.134,1118.5
4.275,51.08,-114.134,1118.5
4.29,51.08,-114.134,1118.5
4.305,51.08,-114.134,1118.5
4.32,51.08,-114.134,1118.5
4.335,51.08,-114.134,1118.5
4.35,51.08,-114.134,1118.5
4.365,51.08,-114.134,1118.5
4.38,51.08,-114.134,1118.5
4.395,51.08,-114.134,1118.5
4.41,51.08,-114.134,1118.5
4.425,51.08,-114.134,1118.5
4.44,51.08,-114.134,1118.5
4.455,51.08,-114.134,1118.5
4.47,51.08,-114.134,1118.5
4.485,51.08,-114.134,1118.5
4.5,51.08,-114.134,1118.5
4.515,51.08,-114.134,1118.5
4.53,51.08,-114.134,1118.5
4.545,51.08,-114.134,1118.5
4.56,51.08,-114.134,1118.5
4.575,51.08,-114.134,1118.5
4.59,51.08,-114.134,1118.5
4.605,51.08,-114.134,1118.5
4.62,51.08,-114.134,1118.5
4.635,51.08,-114.134,1118.5
4.65,51.08,-114.134,1118.5
4.665,51.08,-114.134,1118.5
4.68,51.08,-114.134,1118.5
4.695,51.08,-114.134,1118.5
4.71,51.08,-114.134,1118.5
4.725,51.08,-114.134,1118.5
4.74,51.08,-114.134,1118.5
4.755,51.08,-114.134,1118.5
4.77,51.08,-114.134,1118.5
4.785,51.08,-114.134,1118.5
4.8,51.08,-114.134,1118.5
4.815,51.08,-114.134,1118.5
4.83,51.08,-114.134,1118.5
4.845,51.08,-114.134,1118.5
4.86,51.08,-114.134,1118.5
4.875,51.08,-114.134,1118.5
4.89,51.08,-114.134,1118.5
4.905,51.08,-114.134,1118.5
4.92,51.08,-114.134,1118.5
4.935,51.08,-114.134,1118.5
4.95,51.08,-114.134,1118.5
4.965,51.08,-114.134,1118.5
4.98,51.08,-114.134,1118.5
4.995,51.08,-114.134,1118.5
5.01,51.08,-114.134,1118.5
5.025,51.08,-114.134,1118.5
5.04,51.08,-114.134,1118.5
5.055,51.08,-114.134,1118.5
5.07,51.08,-114.134,1118.5
5.085,51.08,-114.134,1118.5
5.1,51.08,-114.134,1118.5
5.115,51.08,-114.134,1118.5
5.13,51.08,-114.134,1118.5
5.145,51.08,-114.134,1118.5
5.16,51.08,-114.134,1118.5
5.175,51.08,-114.134,1118.5
5.19,51.08,-114.134,1118.5
5.205,51.08,-114.134,1118.5
